DATASEGMENT,EICATEGORY,EICC,EITM,EITYPE,EPSLI,FORCEELEMENT,FYQTR,FYYearInt,ISENDITEM,ISMODEL,MONTH_CHAR,MONTH_NUMBER,PMAI,SCORECARDGROUP,SERVICE,TAI,TII,TMS
AFA,OF,F,U-2,RECONNAISSANCE FIXED WING,1,,,2009,t,t,,,27,,Air Force,28,1,U-2S
AFA,OF,F,U-2,RECONNAISSANCE FIXED WING,1,,,2011,t,t,,,27,,Air Force,28,1,U-2S
AFA,,,,,0,,,2009,,,,,0,,Air Force,0,2,U-3A
AFA,,,,,0,,,2008,,,,,0,,Air Force,0,2,U-3A
AFA,,,,,0,,,2010,,,,,0,,Air Force,0,1,U-3A
AFA,TG,G,UALS,LOADER,0,,,2010,t,t,,,0,,Air Force,0,0,UALS20MM
AFA,TG,G,UALS,LOADER,0,,,2009,t,t,,,0,,Air Force,0,0,UALS20MM
AFA,TG,G,UG07685300,CRANE,0,,,2008,t,t,,,0,,Air Force,0,0,UG07685300
AFA,TG,G,UG07685300,CRANE,0,,,2012,t,t,,,0,,Air Force,0,0,UG07685300
AFA,TG,G,UG07685300,CRANE,0,,,2009,t,t,,,0,,Air Force,0,0,UG07685300
AFA,,X,UG0812895000,TERMINAL,0,,,2012,f,t,,,0,,Air Force,0,0,UG0812895000
AFA,,X,UG0812895000,TERMINAL,0,,,2008,f,t,,,0,,Air Force,0,0,UG0812895000
AFA,,X,UG0812895000,TERMINAL,0,,,2009,f,t,,,0,,Air Force,0,0,UG0812895000
AFA,,X,UG08139090,RADIO,0,,,2009,f,t,,,0,,Air Force,0,0,UG08139090
AFA,,X,UG08139090,RADIO,0,,,2011,f,t,,,0,,Air Force,0,0,UG08139090
AFA,,X,UG08139090,RADIO,0,,,2008,f,t,,,0,,Air Force,0,0,UG08139090
AFA,CR,R,H-1,"CARGO,TRANSPORT AND UTILITY HELICOPTER",0,,,2012,t,t,,,0,Rotary Wing Aviation,Air Force,0,0,UH-1B
